Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Stack method in program semantics","Journal of Computer Science and Technology","","2","1","10.1007/BF02943317","Tonggao TangZhaokeng Zhao","1987","http://link.springer.com/article/10.1007/BF02943317","Article"
"News and Notes","Machine Learning","","2","1","10.1023/A:1022864911006","","1987","http://link.springer.com/article/10.1023/A%3A1022864911006","Article"
"A Tree-structured Database Machine for large relational database systems","Journal of Computer Science and Technology","","2","4","10.1007/BF02943321","Liming MengXiaofei XuHuiyou ChangGuangxi ChenMingzeng HuSheng Li","1987","http://link.springer.com/article/10.1007/BF02943321","Article"
"Tolerances in computer-aided geometric design","The Visual Computer","","3","4","10.1007/BF01952828","Joshua U. TurnerMichael J. Wozny","1987","http://link.springer.com/article/10.1007/BF01952828","Article"
"Learning Syntax by Automata Induction","Machine Learning","","2","1","10.1023/A:1022860810097","Robert C. BerwickSam Pilato","1987","http://link.springer.com/article/10.1023/A%3A1022860810097","Article"
"Events","The Visual Computer","","3","4","10.1007/BF01952832","","1987","http://link.springer.com/article/10.1007/BF01952832","Article"
"The problem of definition expansion and contraction","Journal of Automated Reasoning","","3","4","10.1007/BF00247438","Larry Wos","1987","http://link.springer.com/article/10.1007/BF00247438","Article"
"Human decision making & the symbolic search space paradigm in AI","AI & SOCIETY","","1","2","10.1007/BF01891271","Derek Partridge","1987","http://link.springer.com/article/10.1007/BF01891271","Article"
"Books received (brief review)","Artificial Intelligence Review","","1","4","10.1007/BF00142928","","1987","http://link.springer.com/article/10.1007/BF00142928","Article"
"The role of logic programming in the Fifth Generation Computer Project","New Generation Computing","","5","1","10.1007/BF03037455","Kazuhiro FuchiKoichi Furukawa","1987","http://link.springer.com/article/10.1007/BF03037455","Article"
"Interpolation by a local taut cubic piecewise polynomial","Computing","","38","4","10.1007/BF02278708","Dr. M. DavisDr. J. Dowden","1987","http://link.springer.com/article/10.1007/BF02278708","Article"
"Gratis lattice points for multidimensional integration","Computing","","38","4","10.1007/BF02278712","O. Univ.-Prof. Dr. P. Zinterhof","1987","http://link.springer.com/article/10.1007/BF02278712","Article"
"Announcements","Journal of Automated Reasoning","","3","3","10.1007/BF00243797","","1987","http://link.springer.com/article/10.1007/BF00243797","Article"
"In this issue...","Artificial Intelligence Review","","1","3","10.1007/BF00142287","","1987","http://link.springer.com/article/10.1007/BF00142287","Article"
"Representing three-dimensional structures for visual recognition","Artificial Intelligence Review","","1","3","10.1007/BF00142291","R. B. Fisher","1987","http://link.springer.com/article/10.1007/BF00142291","Article"
"Easy test generation PLAs","Journal of Computer Science and Technology","","2","1","10.1007/BF02943319","Yinghua Min","1987","http://link.springer.com/article/10.1007/BF02943319","Article"
"Automatic extraction of words from Chinese textual data","Journal of Computer Science and Technology","","2","4","10.1007/BF02943323","Yongcheng Wang","1987","http://link.springer.com/article/10.1007/BF02943323","Article"
"FORTRAN-SC a study of a FORTRAN extension for engineering/scientific computation with access to ACRITH","Computing","","39","2","10.1007/BF02310100","J. H. BleherS. M. RumpU. KulischM. MetzgerCh. UllrichW. Walter","1987","http://link.springer.com/article/10.1007/BF02310100","Article"
"The piping of thought and the need for a permanent monitoring of the cultural effects of artificial intelligence","AI & SOCIETY","","1","2","10.1007/BF01891269","Massimo Negrotti","1987","http://link.springer.com/article/10.1007/BF01891269","Article"
"Is the learner a computer peripheral?","AI & SOCIETY","","1","2","10.1007/BF01891273","Julian Hilton","1987","http://link.springer.com/article/10.1007/BF01891273","Article"
"Compiling OR-parallelism into AND-parallelism","New Generation Computing","","5","1","10.1007/BF03037457","Michael CodishEhud Shapiro","1987","http://link.springer.com/article/10.1007/BF03037457","Article"
"A framework for ICAI systems based on inductive inference and logic programming","New Generation Computing","","5","1","10.1007/BF03037461","Kazuhisa KawaiRiichiro MizoguchiOsamu KakushoJun’ichi Toyoda","1987","http://link.springer.com/article/10.1007/BF03037461","Article"
"Numeric-analytic method for finding the periodic solutions of nonlinear differential-difference equations with impulses","Computing","","38","4","10.1007/BF02278714","S. G. HristovaD. D. Bainov","1987","http://link.springer.com/article/10.1007/BF02278714","Article"
"What we say and what we mean","Artificial Intelligence Review","","1","3","10.1007/BF00142289","A. Ramsay","1987","http://link.springer.com/article/10.1007/BF00142289","Article"
"People places things","The Visual Computer","","3","2","10.1007/BF02153661","Tosiyasu L. Kunii","1987","http://link.springer.com/article/10.1007/BF02153661","Article"
"Knowledge Acquisition Via Incremental Conceptual Clustering","Machine Learning","","2","2","10.1023/A:1022852608280","Douglas H. Fisher","1987","http://link.springer.com/article/10.1023/A%3A1022852608280","Article"
"Book reviews","Artificial Intelligence Review","","1","3","10.1007/BF00142293","L. BolcB. Whitby","1987","http://link.springer.com/article/10.1007/BF00142293","Article"
"A systolic approach for an improvement of a finite field multiplier","Journal of Computer Science and Technology","","2","4","10.1007/BF02943325","Yulu Qi","1987","http://link.springer.com/article/10.1007/BF02943325","Article"
"Efficient registration of stereo images by matching graph descriptions of edge segments","International Journal of Computer Vision","","1","2","10.1007/BF00123161","Nicholas AyacheBernard Faverjon","1987","http://link.springer.com/article/10.1007/BF00123161","Article"
"An unconstrained dual program for computing convexC
1-spline approximants","Computing","","39","2","10.1007/BF02310102","J. W. Schmidt","1987","http://link.springer.com/article/10.1007/BF02310102","Article"
"Strategic journalism initiative?","AI & SOCIETY","","1","2","10.1007/BF01891275","David Smith","1987","http://link.springer.com/article/10.1007/BF01891275","Article"
"P-Prolog: A parallel logic language based on exclusive relation","New Generation Computing","","5","1","10.1007/BF03037459","Rong YangHideo Aiso","1987","http://link.springer.com/article/10.1007/BF03037459","Article"
"Linearity and plan generation","New Generation Computing","","5","3","10.1007/BF03037463","Bertram Fronhöfer","1987","http://link.springer.com/article/10.1007/BF03037463","Article"
"An application of algebraic topology to solid modeling in molecular biology","The Visual Computer","","3","2","10.1007/BF02153663","Michael L. Connolly","1987","http://link.springer.com/article/10.1007/BF02153663","Article"
"Global minimization of indefinite quadratic problems","Computing","","39","4","10.1007/BF02239972","P. M. PardalosJ. H. GlickJ. B. Rosen","1987","http://link.springer.com/article/10.1007/BF02239972","Article"
"Generating an interpretation tree from a CAD model for 3D-object recognition in bin-picking tasks","International Journal of Computer Vision","","1","2","10.1007/BF00123163","Katsushi Ikeuchi","1987","http://link.springer.com/article/10.1007/BF00123163","Article"
"Proof techniques for port-directed communication and broadcast","Journal of Computer Science and Technology","","2","2","10.1007/BF02973486","Zhiquan JinA. Silberschatz","1987","http://link.springer.com/article/10.1007/BF02973486","Article"
"Optimal characteristic polynomials for digital multistep pseudorandom numbers","Computing","","39","2","10.1007/BF02310104","Prof. G. L. MullenProf. Dr. H. Niederreiter","1987","http://link.springer.com/article/10.1007/BF02310104","Article"
"Shape grammars and shape rules","Journal of Computer Science and Technology","","2","2","10.1007/BF02973490","Jiaguang Sun","1987","http://link.springer.com/article/10.1007/BF02973490","Article"
"Hybrid next-fit algorithm for the two-dimensional rectangle bin-packing problem","Computing","","39","3","10.1007/BF02309555","J. B. G. FrenkG. Galambos","1987","http://link.springer.com/article/10.1007/BF02309555","Article"
"Artificial intelligence, or the mechanization of work","AI & SOCIETY","","1","2","10.1007/BF01891277","Edward S. Reed","1987","http://link.springer.com/article/10.1007/BF01891277","Article"
"News section","AI & SOCIETY","","1","2","10.1007/BF01891281","","1987","http://link.springer.com/article/10.1007/BF01891281","Article"
"A fast algorithm for translating combinator expressions with BC-chains","New Generation Computing","","5","3","10.1007/BF03037465","Kohei NoshitaXiao -Xun He","1987","http://link.springer.com/article/10.1007/BF03037465","Article"
"Theoretical foundations for the 4×4 determinant method in computer graphics and geometric modelling","The Visual Computer","","3","2","10.1007/BF02153665","Fujio Yamaguchi","1987","http://link.springer.com/article/10.1007/BF02153665","Article"
"An algorithm for solving sparse Nonlinear Least Squares problems","Computing","","39","4","10.1007/BF02239974","J. M. Martínez","1987","http://link.springer.com/article/10.1007/BF02239974","Article"
"Classifier Systems and the Animat Problem","Machine Learning","","2","3","10.1023/A:1022655214215","Stewart W. Wilson","1987","http://link.springer.com/article/10.1023/A%3A1022655214215","Article"
"Three-valued diagnosable systems: Diagnosability, optimal design and fault identification algorithm","Journal of Computer Science and Technology","","2","2","10.1007/BF02973488","Kaiyuan Huang","1987","http://link.springer.com/article/10.1007/BF02973488","Article"
"On the maximum order of optimal B-convergence of Lobatto III C schemes","Computing","","39","2","10.1007/BF02310106","Dr. J. Schneid","1987","http://link.springer.com/article/10.1007/BF02310106","Article"
"An analysis of WS and PFF algorithms","Journal of Computer Science and Technology","","2","2","10.1007/BF02973492","Yangsheng Pan","1987","http://link.springer.com/article/10.1007/BF02973492","Article"
"Declarative error diagnosis","New Generation Computing","","5","2","10.1007/BF03037396","J. W. Lloyd","1987","http://link.springer.com/article/10.1007/BF03037396","Article"
"Bounds for the solution of hyperbolic problems","Computing","","38","3","10.1007/BF02240096","Dr. H. -J. Dobner","1987","http://link.springer.com/article/10.1007/BF02240096","Article"
"On a monotone Newton-like method","Computing","","39","3","10.1007/BF02309557","F. A. Potra","1987","http://link.springer.com/article/10.1007/BF02309557","Article"
"AI and the human eprom","AI & SOCIETY","","1","2","10.1007/BF01891279","David Smith","1987","http://link.springer.com/article/10.1007/BF01891279","Article"
"On-the-fly and background data filtering system for database architectures","New Generation Computing","","5","3","10.1007/BF03037467","Esen A. OzkarahanManuel A. Penaloza","1987","http://link.springer.com/article/10.1007/BF03037467","Article"
"Learning decision lists","Machine Learning","","2","3","10.1007/BF00058680","Ronald L. Rivest","1987","http://link.springer.com/article/10.1007/BF00058680","Article"
"Computer art forum","The Visual Computer","","3","2","10.1007/BF02153667","Nadia Magnenat-Thalmann","1987","http://link.springer.com/article/10.1007/BF02153667","Article"
"Turing's Test and the ideology of artificial intelligence","Artificial Intelligence Review","","1","2","10.1007/BF00130010","Mark Halpern","1987","http://link.springer.com/article/10.1007/BF00130010","Article"
"Using tabu search techniques for graph coloring","Computing","","39","4","10.1007/BF02239976","A. HertzD. de Werra","1987","http://link.springer.com/article/10.1007/BF02239976","Article"
"A software tool for research in linguistics and lexicography: Application to Somali","Computers and translation","","2","1","10.1007/BF01540131","Jacqueline LecarmeCarole Maury","1987","http://link.springer.com/article/10.1007/BF01540131","Article"
"A layered method for process and code mapping","New Generation Computing","","5","2","10.1007/BF03037398","Stephen TaylorEvyatar Av-RonEhud Shapiro","1987","http://link.springer.com/article/10.1007/BF03037398","Article"
"Editorial","The Visual Computer","","3","3","10.1007/BF01962891","Tosiyasu L. Kunii","1987","http://link.springer.com/article/10.1007/BF01962891","Article"
