Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Constrained optimization with normed moving truncations penalty-functions","Computing","","25","3","10.1007/BF02242001","Dr. H. R. Weistroffer","1980","http://link.springer.com/article/10.1007/BF02242001","Article"
"Calendar of events","New Generation Computing","","3","4","10.1007/BF03037085","","1985","http://link.springer.com/article/10.1007/BF03037085","Article"
"Bemerkung zur Differentiation von intervallwertigen Funktionen","Computing","","26","3","10.1007/BF02243485","Priv.-Doz. Pr. G. Schröder","1981","http://link.springer.com/article/10.1007/BF02243485","Article"
"Computational geometry","The Visual Computer","","1","2","10.1007/BF01898348","Tony C. Woo","1985","http://link.springer.com/article/10.1007/BF01898348","Article"
"Optimizing utilization under response time constraints","Computing","","35","1","10.1007/BF02240143","H. -U. HeißG. Totzauer","1985","http://link.springer.com/article/10.1007/BF02240143","Article"
"Some applications of resultants to problems in computational geometry","The Visual Computer","","1","2","10.1007/BF01898352","Ronald N. GoldmanThomas W. Sederberg","1985","http://link.springer.com/article/10.1007/BF01898352","Article"
"Interactive animation of parametric models","The Visual Computer","","1","4","10.1007/BF02021815","Pat HanrahanDavid Sturman","1985","http://link.springer.com/article/10.1007/BF02021815","Article"
"Asymptotisch optimale Relaxationsparameter bei nichtlinearen SOR-Verfahren (Newton-SOR-Verfahren)","Computing","","26","4","10.1007/BF02237951","Dr. K. Merten","1981","http://link.springer.com/article/10.1007/BF02237951","Article"
"Convex spline interpolants with minimal curvature","Computing","","35","2","10.1007/BF02260507","W. BurmeisterW. HeßJ. W. Schmidt","1985","http://link.springer.com/article/10.1007/BF02260507","Article"
"Mean value forms in interval analysis","Computing","","25","2","10.1007/BF02259640","Dr. O. CapraniDr. K. Madsen","1980","http://link.springer.com/article/10.1007/BF02259640","Article"
"Arithmetic of complex sets","Computing","","24","2 - 3","10.1007/BF02281715","Prof. Dr. K. Nickel","1980","http://link.springer.com/article/10.1007/BF02281715","Article"
"A comparison of methods for determining turning points of nonlinear equations","Computing","","29","3","10.1007/BF02241698","R. G. MelhemW. C. Rheinboldt","1982","http://link.springer.com/article/10.1007/BF02241698","Article"
"Convergent solution bounds for linear elliptic boundary value problems of monotone kind","Computing","","24","1","10.1007/BF02242788","Dr. K. -H. Meyn","1980","http://link.springer.com/article/10.1007/BF02242788","Article"
"Concept of a multi-processor parallel processing unit","Computing","","25","1","10.1007/BF02243878","Prof. Dr. R. F. Albrecht","1980","http://link.springer.com/article/10.1007/BF02243878","Article"
"On strictly optimal schedules for the cumulative cost-optimal scheduling problem","Computing","","24","1","10.1007/BF02242792","Prof. Dr. H. M. Abdel-WahabProf. Dr. T. Kameda","1980","http://link.springer.com/article/10.1007/BF02242792","Article"
"Alternate strategies for solving bottleneck assignment problems —analysis and computational results","Computing","","33","2","10.1007/BF02240182","U. Derigs","1984","http://link.springer.com/article/10.1007/BF02240182","Article"
"Piecewise linear optimization","Computing","","25","1","10.1007/BF02243882","Dipl.-Ing. Mag. J. K. Brunner","1980","http://link.springer.com/article/10.1007/BF02243882","Article"
"Foundation of logic programming based on inductive definition","New Generation Computing","","2","1","10.1007/BF03037052","Masami HagiyaTakafumi Sakurai","1984","http://link.springer.com/article/10.1007/BF03037052","Article"
"Random variate generation for unimodal and monotone densities","Computing","","32","1","10.1007/BF02243018","Prof. Dr. L. Devroye","1984","http://link.springer.com/article/10.1007/BF02243018","Article"
"Determining the interval number of a triangle-free graph","Computing","","31","4","10.1007/BF02251237","C. Maas","1983","http://link.springer.com/article/10.1007/BF02251237","Article"
"Call for papers","New Generation Computing","","3","1","10.1007/BF03037119","","1985","http://link.springer.com/article/10.1007/BF03037119","Article"
"Numerical solution of the obstacle problem by the penalty method","Computing","","32","4","10.1007/BF02243774","Dr. R. Scholz","1984","http://link.springer.com/article/10.1007/BF02243774","Article"
"Computationally relevant properties of natural languages and their grammars","New Generation Computing","","3","3","10.1007/BF03037123","Gerald GazdarGeoffrey K. Pullum","1985","http://link.springer.com/article/10.1007/BF03037123","Article"
"Algorithm fast fourier transforms with recursively generated trigonometric functions","Computing","","29","3","10.1007/BF02241701","Dr. K. Dobeš","1982","http://link.springer.com/article/10.1007/BF02241701","Article"
