Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Strategic Computing Program at four years: Implications and intimations","AI & SOCIETY","","2","2","10.1007/BF01891378","Chris Hables Gray","1988","http://link.springer.com/article/10.1007/BF01891378","Article"
"Machine learning as an experimental science","Machine Learning","","3","1","10.1007/BF00115008","Pat Langley","1988","http://link.springer.com/article/10.1007/BF00115008","Article"
"W(h)ither expert systems? — A view from outside","AI & SOCIETY","","2","2","10.1007/BF01891382","Ian White","1988","http://link.springer.com/article/10.1007/BF01891382","Article"
"Parallel methods for tridiagonal equations","Computing","","40","3","10.1007/BF02251254","D. KaurY. Wallach","1988","http://link.springer.com/article/10.1007/BF02251254","Article"
"Specialisation of Prolog and FCP programs using abstract interpretation","New Generation Computing","","6","2 - 3","10.1007/BF03037136","John GallagherMichael CodishEhud Shapiro","1988","http://link.springer.com/article/10.1007/BF03037136","Article"
"Using the orientation of fragmentary 3D edge segments for polyhedral object recognition","International Journal of Computer Vision","","2","2","10.1007/BF00133698","D. W. MurrayD. B. Cook","1988","http://link.springer.com/article/10.1007/BF00133698","Article"
"Partial evaluation of queries in deductive databases","New Generation Computing","","6","2 - 3","10.1007/BF03037140","Chiaki SakamaHidenori Itoh","1988","http://link.springer.com/article/10.1007/BF03037140","Article"
"In this issue...","Artificial Intelligence Review","","2","2","10.1007/BF00140397","","1988","http://link.springer.com/article/10.1007/BF00140397","Article"
"Mechanical procedure for proof construction via closed terms in typed λ calculus","Journal of Automated Reasoning","","4","2","10.1007/BF00244393","Marek Zaionc","1988","http://link.springer.com/article/10.1007/BF00244393","Article"
"Editorial","Artificial Intelligence Review","","2","3","10.1007/BF00159142","Ajit Narayanan","1988","http://link.springer.com/article/10.1007/BF00159142","Article"
"The potential of Swetra — A multilanguage MT system","Computers and translation","","3","2","10.1007/BF02055239","Bengt SigurdBarbara Gawronska-Werngren","1988","http://link.springer.com/article/10.1007/BF02055239","Article"
"Recognizing polygons, or how to spy","The Visual Computer","","3","6","10.1007/BF01901192","James A. DeanAndrzej LingasJörg-Rüdiger Sack","1988","http://link.springer.com/article/10.1007/BF01901192","Article"
"Book reviews","Artificial Intelligence Review","","2","2","10.1007/BF00140400","S. TorranceM. F. McTearTrevor Cooper-ChadwickJason TrenouthAndy CheeseRuss ThomasM. Pengelly","1988","http://link.springer.com/article/10.1007/BF00140400","Article"
"Human skin model capable of natural shape variation","The Visual Computer","","3","5","10.1007/BF01914861","Koji Komatsu","1988","http://link.springer.com/article/10.1007/BF01914861","Article"
"Program slicing: Its improved algorithm and application in verification","Journal of Computer Science and Technology","","3","1","10.1007/BF02943330","Qi LuFubo ZhangJiahua Qian","1988","http://link.springer.com/article/10.1007/BF02943330","Article"
"News section","AI & SOCIETY","","2","2","10.1007/BF01891384","","1988","http://link.springer.com/article/10.1007/BF01891384","Article"
"Composing recursive logic programs withClausal join","New Generation Computing","","6","2 - 3","10.1007/BF03037138","A. LakhotiaL. Sterling","1988","http://link.springer.com/article/10.1007/BF03037138","Article"
"A partial evaluation system for Prolog: some practical considerations","New Generation Computing","","6","2 - 3","10.1007/BF03037142","Raf VenkenBart Demoen","1988","http://link.springer.com/article/10.1007/BF03037142","Article"
"Blackboard systems","Artificial Intelligence Review","","2","2","10.1007/BF00140399","I. D. Craig","1988","http://link.springer.com/article/10.1007/BF00140399","Article"
"The problem of explaining the disparate performance of hyperresolution and paramodulation","Journal of Automated Reasoning","","4","2","10.1007/BF00244395","Larry Wos","1988","http://link.springer.com/article/10.1007/BF00244395","Article"
"Formal semantics: is it relevant to artificial intelligence?","Artificial Intelligence Review","","2","3","10.1007/BF00159144","A. Galton","1988","http://link.springer.com/article/10.1007/BF00159144","Article"
"Parallel algorithms for shortest path problems in polygons","The Visual Computer","","3","6","10.1007/BF01901194","Hossam ElGindyMichael Goodrich","1988","http://link.springer.com/article/10.1007/BF01901194","Article"
"Hierarchical structure to winged-edge structure: a conversion algorithm","The Visual Computer","","4","3","10.1007/BF01908896","K. C. ChanS. T. Tan","1988","http://link.springer.com/article/10.1007/BF01908896","Article"
"The approximate solution of initial-value problems for general Volterra integro-differential equations","Computing","","40","2","10.1007/BF02247941","H. Brunner","1988","http://link.springer.com/article/10.1007/BF02247941","Article"
"Simulation of human motion: computer animation and robotics","The Visual Computer","","3","5","10.1007/BF01914859","N. Magnenat-ThalmannD. Thalmann","1988","http://link.springer.com/article/10.1007/BF01914859","Article"
"Soundness and completeness of Kung’s reasoning procedure","Journal of Computer Science and Technology","","3","1","10.1007/BF02943328","Renwei Li","1988","http://link.springer.com/article/10.1007/BF02943328","Article"
"Animating speech: an automated approach using speech synthesised by rules","The Visual Computer","","3","5","10.1007/BF01914863","David R. HillAndrew PearceBrian Wyvill","1988","http://link.springer.com/article/10.1007/BF01914863","Article"
"Hierarchical protocol analysis by temporal logic","Journal of Computer Science and Technology","","3","1","10.1007/BF02943332","Yulin Feng","1988","http://link.springer.com/article/10.1007/BF02943332","Article"
"Terminology","New Generation Computing","","6","2 - 3","10.1007/BF03037144","","1988","http://link.springer.com/article/10.1007/BF03037144","Article"
"A memory organization for parallel computers","New Generation Computing","","6","1","10.1007/BF03037502","F. A. MurzinV. A. Sluev","1988","http://link.springer.com/article/10.1007/BF03037502","Article"
"Editor's note","Computers and translation","","3","1","10.1007/BF02057965","Sergei Nirenburg","1988","http://link.springer.com/article/10.1007/BF02057965","Article"
"Book review","Journal of Automated Reasoning","","4","2","10.1007/BF00244397","Ross Overbeek","1988","http://link.springer.com/article/10.1007/BF00244397","Article"
"Explanations in cognitive science","Artificial Intelligence Review","","2","3","10.1007/BF00159146","C. Beardon","1988","http://link.springer.com/article/10.1007/BF00159146","Article"
"Computer art forum","The Visual Computer","","3","6","10.1007/BF01901196","Nadia Magnenat-Thalmann","1988","http://link.springer.com/article/10.1007/BF01901196","Article"
"TSL—A Texture Synthesis Language","The Visual Computer","","4","3","10.1007/BF01908898","Arie Kaufman","1988","http://link.springer.com/article/10.1007/BF01908898","Article"
"A variant of finite-dimensional Tikhonov regularization with a-posteriori parameter choice","Computing","","40","2","10.1007/BF02247939","Prof. J. T. KingDr. A. Neubauer","1988","http://link.springer.com/article/10.1007/BF02247939","Article"
"The region approach for computing relative neighbourhood graphs in the Lp metric","Computing","","40","2","10.1007/BF02247943","J. Katajainen","1988","http://link.springer.com/article/10.1007/BF02247943","Article"
"Visibility problems for orthogonal objects in two-or three-dimensions","The Visual Computer","","4","2","10.1007/BF01905560","Jeong-In DohKyung-Yong Chwa","1988","http://link.springer.com/article/10.1007/BF01905560","Article"
"VISYR: a simulation tool for mobile robots using vision sensors","The Visual Computer","","3","5","10.1007/BF01914865","Gérard HégronBruno ArnaldiThierry Priol","1988","http://link.springer.com/article/10.1007/BF01914865","Article"
