"Contents of the DL"
"CONTENT TYPE","TITLE","ABBR","ISSN","e-ISSN","PUBLICATION RANGE: START","PUBLICATION RANGE: LATEST PUBLISHED","SHORTCUT URL","ARCHIVE URL"
"Conference Proceedings","ACM SE: Annual Southeast Regional Conference","","","","1967 (June 1967)","2018 (March 2018)","http://dl.acm.org/proceedings/acmse/","http://dl.acm.org/proceedings/acmse/archive/"
"Conference Proceedings","ACM-BCS: ACM-BCS","","","","2010 (April 2010)","2010 (April 2010)","http://dl.acm.org/proceedings/acm-bcs/","http://dl.acm.org/proceedings/acm-bcs/archive/"
"Conference Proceedings","ACM: ACM Annual Conference/Annual Meeting","","","","1952 (May 1952)","1997 (March 1997)","http://dl.acm.org/proceedings/acm/","http://dl.acm.org/proceedings/acm/archive/"
"Conference Proceedings","ACPIS: Aspects, Components, and Patterns for Infrastructure Software","","","","2007 (March 2007)","2009 (March 2009)","http://dl.acm.org/proceedings/acpis/","http://dl.acm.org/proceedings/acpis/archive/"
"Conference Proceedings","ACSAC: Annual Computer Security Applications Conference","","","","2001 (January 2001)","2018 (December 2018)","http://dl.acm.org/proceedings/acsac/","http://dl.acm.org/proceedings/acsac/archive/"
"Conference Proceedings","ACoM: Assessment of Contemporary Modularization Techniques","","","","2007 (May 2007)","2007 (May 2007)","http://dl.acm.org/proceedings/acom/","http://dl.acm.org/proceedings/acom/archive/"
"Conference Proceedings","ADAMUS: Adaptive and Dependable Mobile Ubiquitous Systems","","","","2009 (July 2009)","2009 (July 2009)","http://dl.acm.org/proceedings/adamus/","http://dl.acm.org/proceedings/adamus/archive/"
"Conference Proceedings","ADKDD: Data Mining and Audience Intelligence for Advertising","","","","2007 (August 2007)","2017 (August 2017)","http://dl.acm.org/proceedings/adkdd/","http://dl.acm.org/proceedings/adkdd/archive/"
"Conference Proceedings","ADPUC: Advanced Data Processing in Ubiquitous Computing","","","","2006 (November 2006)","2006 (November 2006)","http://dl.acm.org/proceedings/adpuc/","http://dl.acm.org/proceedings/adpuc/archive/"
"Conference Proceedings","AFFINE: Affective-Aware Virtual Agents and Social Robots","","","","2009 (November 2009)","2010 (October 2010)","http://dl.acm.org/proceedings/affine/","http://dl.acm.org/proceedings/affine/archive/"
"Conference Proceedings","AFIPS: AFIPS","","","","1955 (March 1955)","1984 (July 1984)","http://dl.acm.org/proceedings/afips/","http://dl.acm.org/proceedings/afips/archive/"
"Conference Proceedings","AFM: Automated Formal Methods","","","","2007 (November 2007)","2007 (November 2007)","http://dl.acm.org/proceedings/afm/","http://dl.acm.org/proceedings/afm/archive/"
"Conference Proceedings","AFRIGRAPH: Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa","","","","2001 (November 2001)","2010 (June 2010)","http://dl.acm.org/proceedings/afrigraph/","http://dl.acm.org/proceedings/afrigraph/archive/"
"Conference Proceedings","AGENTS: Autonomous Agents","","","","1997 (February 1997)","2001 (May 2001)","http://dl.acm.org/proceedings/agents/","http://dl.acm.org/proceedings/agents/archive/"
"Conference Proceedings","AH: Augmented Human","","","","2010 (April 2010)","2019 (March 2019)","http://dl.acm.org/proceedings/ah/","http://dl.acm.org/proceedings/ah/archive/"
